label	NCBI.Genus.species	Kingdom	Phylum	Class	Group	Color.Clade
WP_112582199.1	Micromonospora_noduli	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_084597808.1	Micromonospora_chokoriensis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_089021700.1	Micromonospora_coriariae	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_052129167.1	Clavibacter_michiganensis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
KZC93957.1	Clavibacter_tessellarius	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_026468149.1	Amycolatopsis_balhimycina	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_013225816.1	Amycolatopsis_mediterranei	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_030660953.1	Streptomyces_cellulosae	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_010357835.1	Streptomyces_acidiscabies	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_051948692.1	Streptomyces_scabiei	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_009327266.1	Streptomyces_ipomoeae	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_051866281.1	Streptomyces_griseus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	#7FC97F
WP_071900596.1	Cystobacter_ferrugineus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	orange
WP_095988756.1	Cystobacter_fuscus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	orange
WP_053066978.1	Archangium_gephyra	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	orange
WP_043394862.1	Archangium_violaceum	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	orange
WP_046714021.1	Myxococcus_fulvus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	orange
