NCBI.id	Species	Phylum	Class	Group	Color.Clade
AAC15708.1	Heterodera_glycines	Nematoda	Tylenchidae	Tylenchida	Red
AER27804.1	Globodera_pallida	Nematoda	Secernentea	Tylenchida	Red
AHW98760.1	Globodera_rostochiensis	Nematoda	Secernentea	Tylenchida	Red
AAR37374.1	Meloidogyne_incognita	Nematoda	Secernentea	Tylenchida	Red
CAJ77137.1	Meloidogyne_javanica	Nematoda	Secernentea	Tylenchida	Red
AER27761.1	Meloidogyne_artiellia	Nematoda	Secernentea	Tylenchida	Red
AER27799.1	Hirschmanniella_gracilis	Nematoda	Secernentea	Tylenchida	Red
AFD33558.1	Aphelenchoides_fragariae	Nematoda	Secernentea	Tylenchida	Red
CDM79919.1	Pratylenchus_vulnus	Nematoda	Secernentea	Tylenchida	Red
ABV54446.1	Radopholus_similis	Nematoda	Secernentea	Tylenchida	Red
WP_020737533.1	Sorangium_cellulosum	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_013780740.1	Mahella_australiensis	Firmicutes	Firmicutes	Clostridia	grey80
WP_063748716.1	Chondromyces_apiculatus	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_063796371.1	Chondromyces_crocatus	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_010552982.1	Pseudoalteromonas_arctica	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_033021923.1	Pseudoalteromonas_distincta	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_033030188.1	Pseudoalteromonas_fuliginea	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_081941534.1	Vibrio_maritimus	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_012765495.1	Dickeya_paradisiaca	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_022634109.1	Dickeya_solani	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039692237.1	Dickeya_fangzhongdai	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_027711642.1	Dickeya_chrysanthemi	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_038904963.1	Dickeya_zeae	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_110371222.1	Erwinia_sp_AG740	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_038184058.1	Vibrio_rhizosphaerae	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_072954959.1	Vibrio_gazogenes	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_077333113.1	Vibrio_ruber	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_087482160.1	Vibrio_mangrovi	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_073605069.1	Vibrio_aerogenes	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_012488564.1	Cellvibrio_japonicus	Proteobacteria	gammaProteobacteria	Pseudomonadales	yellow
WP_039917233.1	Cellvibrio_mixtus	Proteobacteria	gammaProteobacteria	Pseudomonadales	yellow
SJL84447.1	Vibrio_palustris	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_068716286.1	Vibrio_tritonius	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_093270344.1	Vibrio_xiamenensis	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_106375204.1	Halomonas_songnenensis	Proteobacteria	gammaProteobacteria	Oceanospirillales	lightgreen
WP_084560698.1	Phaseolibacter_flectens	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
AXF77819.1	Erwinia_tracheiphila	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_006122111.1	Pantoea_stewartii	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_103415919.1	Dickeya_dianthicola	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_103879421.1	Vibrio_hangzhouensis	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_091155250.1	Mucilaginibacter_pineti	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_091211959.1	Mucilaginibacter_gossypiicola	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_121811567.1	Mucilaginibacter_kameinonensis	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_099437345.1	Pedobacter_ginsengisoli	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_109926791.1	Pedobacter_yonginense	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_123204458.1	Pedobacter_jejuensis	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
ABK63476.1	Bacillus_licheniformis	Firmicutes	Firmicutes	Clostridia	grey80
AGW99983.1	Bacillus_thuringiensis	Firmicutes	Firmicutes	Clostridia	grey80
WP_064778981.1	Bacillus_siamensis	Firmicutes	Firmicutes	Clostridia	grey80
WP_024715905.1	Bacillus_tequilensis	Firmicutes	Firmicutes	Clostridia	grey80
AOO87088.1	Lactobacillus_plantarum	Firmicutes	Firmicutes	Clostridia	grey80
ADO21451.1	Geobacillus_stearothermophilus	Firmicutes	Firmicutes	Clostridia	grey80
ALE32753.1	Bacillus_velezensis	Firmicutes	Firmicutes	Clostridia	grey80
AGW99984.1	Bacillus_cereus	Firmicutes	Firmicutes	Clostridia	grey80
WP_124043315.1	Bacillus_subtilis	Firmicutes	Firmicutes	Clostridia	grey80
WP_087987044.1	Bacillus_intestinalis	Firmicutes	Firmicutes	Clostridia	grey80
AGW99981.1	Bacillus_megaterium	Firmicutes	Firmicutes	Clostridia	grey80
WP_103671508.1	Bacillus_halotolerans	Firmicutes	Firmicutes	Clostridia	grey80
WP_095260012.1	Bacillus_sonorensis	Firmicutes	Firmicutes	Clostridia	grey80
WP_075754720.1	Bacillus_paralicheniformis	Firmicutes	Firmicutes	Clostridia	grey80
WP_005972423.1	Pectobacterium_wasabiae	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_107167542.1	Pectobacterium_punjabense	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_113631628.1	Pectobacterium_peruviense	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039299339.1	Pectobacterium_betavasculorum	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039467713.1	Pectobacterium_carotovorum	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039292168.1	Pectobacterium_atrosepticum	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_014700240.1	Pectobacterium_parmentieri	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_120358761.1	Pectobacterium_polaris	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_121574223.1	Brenneria_alni	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_121589321.1	Brenneria_goodwinii	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_063211283.1	Paenibacillus_jamilae	Firmicutes	Firmicutes	Clostridia	grey80
WP_076294350.1	Paenibacillus_peoriae	Firmicutes	Firmicutes	Clostridia	grey80
WP_068504790.1	Paenibacillus_kribbensis	Firmicutes	Firmicutes	Clostridia	grey80
CUN41483.1	Catenibacterium_mitsuokai	Firmicutes	Firmicutes	Clostridia	coral2
WP_117601320.1	Bacteroides_uniformis	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_025834437.1	Bacteroides_stercorirosoris	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_029429011.1	Bacteroides_cellulosilyticus	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_004345518.1	Prevotella_buccae	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_018463217.1	Prevotella_paludivivens	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_118200058.1	Prevotella_copri	Bacteroidetes	Bacteroidia	Bacteroidales	burlywood2
WP_087149417.1	Algoriphagus_resistens	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_111317262.1	Algoriphagus_chordae	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_091691733.1	Algoriphagus_locisalis	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_103923692.1	Algoriphagus_boritolerans	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_031456055.1	Flavobacterium_chungangense	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_089051590.1	Flavobacterium_hercynium	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_091133552.1	Flavobacterium_anhuiense	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_111289016.1	Flavobacterium_ginsenosidimutans	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
